Sample Name,Correct ID,SIF Top Species,SIF Top Score,SIF Family ID
20140123_PH28SOLrun_0_M18,Mustelidae,Mustela erminea/Neogale vison/Mustela nigripes/Mustela lutreola/Mustela putorius furo,111,Mustelidae
20140217_PH116solRUN_0_K1,Mustelidae,Mustela erminea/Neogale vison/Mustela putorius furo/Mustela lutreola/Mustela nigripes,120,Mustelidae
20140221_PH108solRun_0_L1,Mustelidae,Mustela putorius furo/Neogale vison/Mustela lutreola/Mustela nigripes/Mustela erminea,86,Mustelidae
20140124_PH20SOLrun_0_K16,Mustelidae,Lutra lutra,107,Mustelidae
20131112_P132sols_0_M10,Mustelidae,Mustela putorius furo/Mustela lutreola/Mustela erminea/Mustela nigripes/Lutra lutra/Neogale vison,155,Mustelidae
20140217_PH116solRUN_0_C17,Ursus,Ailuropoda melanoleuca,159,Ursus
20131112_P132sols_0_L16,Ursus,Ursus arctos/Ursus americanus,207,Ursus
20140129_PH8SOLrun_0_B24,Ursus,Ailuropoda melanoleuca,158,Ursus
20140219_PH112solRUN_0_A23,Ursus,Ursus americanus/Ursus arctos,157,Ursus
20140121_PH40SOLrun_0_M22,Ursus,Ailuropoda melanoleuca/Ursus maritimus/Ursus arctos/Ursus americanus,122,Ursus
20140122_PH36SOLrun_0_N6,Ursus,Ursus americanus/Ursus arctos,157,Ursus
20140210_PH128SOLrun_0_J13,Ursus,Ailuropoda melanoleuca/Ursus americanus/Ursus arctos,111,Ursus
20140123_PH32SOLrun_0_K9,Ursus,Ursus arctos/Ursus americanus,134,Ursus
20140113_PH88SOL_0_M23,Ursus,Ailuropoda melanoleuca,197,Ursus
20140121_PH40SOLrun_0_B21,Ursus,Ursus americanus/Ursus arctos,127,Ursus
